     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.077,tesseract,55c37feed51e2971917b331c1ab521a0c91850955f20ff8be59ab959e8aa27d3,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}",
         1,         0,         0,   0.148,tesseract,a812038ace23071d76217d7d2475085674d62665e380e5950a449690cae644cb,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001668100537200059,""rounds"":3}",
         4,         0,         0,   0.210,tesseract,55c37feed51e2971917b331c1ab521a0c91850955f20ff8be59ab959e8aa27d3,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}",
         1,         0,         0,   0.247,tesseract,1f63a39e3824c7d501efc31a504bfc6d363ee9a628663fd86db1ae448c49385f,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.0027825594022071257,""rounds"":3}",
         8,         0,         0,   0.599,tesseract,55c37feed51e2971917b331c1ab521a0c91850955f20ff8be59ab959e8aa27d3,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}",
         8,         1,         0,   0.650,tesseract,55c37feed51e2971917b331c1ab521a0c91850955f20ff8be59ab959e8aa27d3,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}","{""obs_mistake_mask=_E"":1}"
         8,         0,         0,   0.577,tesseract,55c37feed51e2971917b331c1ab521a0c91850955f20ff8be59ab959e8aa27d3,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}",
         8,         1,         0,   0.917,tesseract,55c37feed51e2971917b331c1ab521a0c91850955f20ff8be59ab959e8aa27d3,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}","{""obs_mistake_mask=E_"":1}"
         8,         0,         0,   0.602,tesseract,55c37feed51e2971917b331c1ab521a0c91850955f20ff8be59ab959e8aa27d3,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}",
         4,         1,         0,    4.26,tesseract,a812038ace23071d76217d7d2475085674d62665e380e5950a449690cae644cb,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001668100537200059,""rounds"":3}","{""obs_mistake_mask=_E"":1}"
         1,         0,         0,    1.17,tesseract,a7dee353ae4525d5754c84022a97916cc114da6bd676e8e307f9d038d3ad240b,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.001,""rounds"":5}",
         2,         0,         0,   0.237,tesseract,a812038ace23071d76217d7d2475085674d62665e380e5950a449690cae644cb,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001668100537200059,""rounds"":3}",
         1,         1,         0,    4.53,tesseract,263118f161ed3f46b7ceb861c9bced58f2da41516fba9642ee318e00af3a1496,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.007742636826811269,""rounds"":3}","{""obs_mistake_mask=EE"":1}"
         8,         1,         0,    1.24,tesseract,55c37feed51e2971917b331c1ab521a0c91850955f20ff8be59ab959e8aa27d3,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}","{""obs_mistake_mask=_E"":1}"
         4,         0,         0,   0.667,tesseract,a812038ace23071d76217d7d2475085674d62665e380e5950a449690cae644cb,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001668100537200059,""rounds"":3}",
         1,         0,         0,   0.740,tesseract,a7dee353ae4525d5754c84022a97916cc114da6bd676e8e307f9d038d3ad240b,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.001,""rounds"":5}",
         4,         1,         0,   0.527,tesseract,a812038ace23071d76217d7d2475085674d62665e380e5950a449690cae644cb,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001668100537200059,""rounds"":3}","{""obs_mistake_mask=EE"":1}"
         1,         0,         0,   0.932,tesseract,a7dee353ae4525d5754c84022a97916cc114da6bd676e8e307f9d038d3ad240b,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.001,""rounds"":5}",
         2,         1,         0,    5.97,tesseract,1f63a39e3824c7d501efc31a504bfc6d363ee9a628663fd86db1ae448c49385f,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.0027825594022071257,""rounds"":3}","{""obs_mistake_mask=_E"":1}"
         4,         0,         0,    1.20,tesseract,a812038ace23071d76217d7d2475085674d62665e380e5950a449690cae644cb,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001668100537200059,""rounds"":3}",
         1,         0,         0,    1.08,tesseract,a7dee353ae4525d5754c84022a97916cc114da6bd676e8e307f9d038d3ad240b,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.001,""rounds"":5}",
         4,         0,         0,   0.520,tesseract,a812038ace23071d76217d7d2475085674d62665e380e5950a449690cae644cb,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001668100537200059,""rounds"":3}",
         4,         0,         0,   0.332,tesseract,a812038ace23071d76217d7d2475085674d62665e380e5950a449690cae644cb,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001668100537200059,""rounds"":3}",
         1,         0,         0,   0.607,tesseract,a7dee353ae4525d5754c84022a97916cc114da6bd676e8e307f9d038d3ad240b,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.001,""rounds"":5}",
         8,         0,         0,    3.36,tesseract,55c37feed51e2971917b331c1ab521a0c91850955f20ff8be59ab959e8aa27d3,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}",
         4,         1,         0,   0.410,tesseract,a812038ace23071d76217d7d2475085674d62665e380e5950a449690cae644cb,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001668100537200059,""rounds"":3}","{""obs_mistake_mask=_E"":1}"
         1,         0,         0,   0.592,tesseract,a7dee353ae4525d5754c84022a97916cc114da6bd676e8e307f9d038d3ad240b,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.001,""rounds"":5}",
         1,         0,         0,    5.56,tesseract,25f6f82269f7302ad139c5eaef7cfb5807b52a62f62b9e13cce4a282f7cbb571,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.001668100537200059,""rounds"":5}",
